Municipality	Founded	Population	FIPS	wikipath	White	Black	Amerindian	Asian	Multiracial	Hispanic	party
Adjuntas	1815	19143	1	/wiki/Adjuntas,_Puerto_Rico	93.1	3.1	0.3	0	3.4	99.6	PNP
Aguada	1508	42042	3	/wiki/Aguada,_Puerto_Rico	86.6	5.3	0.3	0.1	7.7	99.4	PPD
Aguadilla	1780	64685	5	/wiki/Aguadilla,_Puerto_Rico	83	7.4	0.3	0.2	8.2	98.5	PNP
Aguas Buenas	1838	29032	7	/wiki/Aguas_Buenas,_Puerto_Rico	72.5	12.6	0.6	0.1	14.2	99.5	PPD
Aibonito	1824	26493	9	/wiki/Aibonito,_Puerto_Rico	83.5	7.3	0.2	0	9	99.3	PNP
Añasco	1733	28348	11	/wiki/A%C3%B1asco,_Puerto_Rico	53.5	32.5	0.9	0.2	13	99.1	PPD
Arecibo	1616	100131	13	/wiki/Arecibo,_Puerto_Rico	82	7.2	0.4	0.1	10.3	99.2	PNP
Arroyo	1855	19117	15	/wiki/Arroyo,_Puerto_Rico	84.5	6.1	0.4	0.1	7.9	99.2	PPD
Barceloneta	1881	22322	17	/wiki/Barceloneta,_Puerto_Rico	80.7	7.6	0.3	0.1	11.2	99.4	PPD
Barranquitas	1803	28909	19	/wiki/Barranquitas,_Puerto_Rico	86	5.4	0.3	0	8.3	99.3	PNP
Bayamón	1772	208116	21	/wiki/Bayam%C3%B3n,_Puerto_Rico	78.3	10.3	0.6	0.2	10.7	99	PNP
Cabo Rojo	1771	50917	23	/wiki/Cabo_Rojo,_Puerto_Rico	84.1	5.4	0.3	0.1	10.1	98.9	PPD
Caguas	1775	142893	25	/wiki/Caguas,_Puerto_Rico	76.1	11	0.6	0.2	12.1	99.1	PPD
Camuy	1807	35159	27	/wiki/Camuy,_Puerto_Rico	87.9	4.1	0.3	0.1	7.6	99.4	PNP
Canóvanas	1909	47648	29	/wiki/Can%C3%B3vanas,_Puerto_Rico	61.2	21.6	0.9	0.2	16.1	99.2	PNP
Carolina	1816	176762	31	/wiki/Carolina,_Puerto_Rico	64.3	22.8	0.9	0.4	11.7	98.6	PPD
Cataño	1927	28140	33	/wiki/Cata%C3%B1o,_Puerto_Rico	70.7	14.4	1	0.3	13.7	99	PPD
Cayey	1773	48119	35	/wiki/Cayey,_Puerto_Rico	79.9	8.3	0.4	0.1	11.3	99.3	PPD
Ceiba	1838	13631	37	/wiki/Ceiba,_Puerto_Rico	70.6	16.5	0.7	0.1	12	98.8	PNP
Ciales	1820	18782	39	/wiki/Ciales,_Puerto_Rico	89.5	4.2	0.1	0	6.2	99.7	PPD
Cidra	1809	43480	41	/wiki/Cidra,_Puerto_Rico	76.6	8.3	0.4	0.1	14.6	99.4	PNP
Coamo	1579	40512	43	/wiki/Coamo,_Puerto_Rico	76.8	10.4	0.3	0.1	12.3	99.6	PPD
Comerío	1826	20778	45	/wiki/Comer%C3%ADo,_Puerto_Rico	78.6	8.6	0.6	0.1	12.1	99.6	PPD
Corozal	1795	37142	47	/wiki/Corozal,_Puerto_Rico	85.4	5.3	0.2	0.1	9	99.4	PPD
Culebra	1880	1818	49	/wiki/Culebra,_Puerto_Rico	56.9	26.6	0.9	0.2	15.4	91.7	PPD
Dorado	1842	38165	51	/wiki/Dorado,_Puerto_Rico	69.5	15.7	0.7	0.2	13.9	98	PPD
Fajardo	1772	36993	53	/wiki/Fajardo,_Puerto_Rico	64.8	18.6	0.7	0.3	15.7	98.2	PNP
Florida	1971	12680	54	/wiki/Florida,_Puerto_Rico	90.4	4.6	0.3	0.1	4.5	99.6	PNP
Guánica	1508	19427	55	/wiki/Gu%C3%A1nica,_Puerto_Rico	72.5	14.6	0.4	0.1	12.5	99.2	PNP
Guayama	1736	45362	57	/wiki/Guayama,_Puerto_Rico	79.9	7.7	0.5	0	11.8	99.4	PPD
Guayanilla	1833	21581	59	/wiki/Guayanilla,_Puerto_Rico	68.2	18.5	0.8	0.1	12.3	99.1	PPD
Guaynabo	1769	97924	61	/wiki/Guaynabo,_Puerto_Rico	81.9	8.3	0.4	0.1	9.3	99.5	PNP
Gurabo	1815	45369	63	/wiki/Gurabo,_Puerto_Rico	79.4	9.8	0.4	0.2	10.1	98.2	PNP
Hatillo	1823	41953	65	/wiki/Hatillo,_Puerto_Rico	87.3	4.4	0.2	0.1	8	99.2	PPD
Hormigueros	1874	17250	67	/wiki/Hormigueros,_Puerto_Rico	81.2	8.3	0.4	0.1	10	99.5	PPD
Humacao	1722	58466	69	/wiki/Humacao,_Puerto_Rico	66.1	18.5	0.8	0.2	14.3	99	PPD
Isabela	1819	45631	71	/wiki/Isabela,_Puerto_Rico	83.4	7.5	0.3	0.1	8.6	99	PPD
Jayuya	1911	16642	73	/wiki/Jayuya,_Puerto_Rico	90.7	3.4	0.4	0.1	5.5	99.6	PPD
Juana Díaz	1798	50747	75	/wiki/Juana_D%C3%ADaz,_Puerto_Rico	75.3	14.3	0.5	0.1	9.9	99.4	PPD
Juncos	1797	40290	77	/wiki/Juncos,_Puerto_Rico	71.7	13.7	0.5	0.1	14.1	99.3	PPD
Lajas	1883	25753	79	/wiki/Lajas,_Puerto_Rico	80.6	5.2	0.2	0.1	13.9	99.3	PPD
Lares	1827	30753	81	/wiki/Lares,_Puerto_Rico	91.1	3	0.2	0.1	5.6	99.3	PNP
Las Marías	1871	9881	83	/wiki/Las_Mar%C3%ADas,_Puerto_Rico	86.3	5.3	0.4	0	8	99.4	PPD
Las Piedras	1773	38675	85	/wiki/Las_Piedras,_Puerto_Rico	70.5	11.8	0.5	0.1	17.1	99.4	PNP
Loíza	1719	30060	87	/wiki/Lo%C3%ADza,_Puerto_Rico	26.5	64.3	0.5	0.1	8.6	99.4	PNP
Luquillo	1797	20068	89	/wiki/Luquillo,_Puerto_Rico	65.5	20.8	0.9	0.2	12.6	97.9	PPD
Manatí	1738	44113	91	/wiki/Manat%C3%AD,_Puerto_Rico	81.8	8.7	0.5	0.1	8.9	99.2	PNP
Maricao	1874	6276	93	/wiki/Maricao,_Puerto_Rico	89.2	4.8	0.4	0	5.3	99.4	PNP
Maunabo	1799	12225	95	/wiki/Maunabo,_Puerto_Rico	47.9	30.4	0.8	0.1	20.8	99.2	PPD
Mayagüez	1760	89080	97	/wiki/Mayag%C3%BCez,_Puerto_Rico	78.7	8.2	0.8	0.2	12.1	98.9	PPD
Moca	1772	40109	99	/wiki/Moca,_Puerto_Rico	89.5	4.5	0.2	0.1	5.8	99.4	PNP
Morovis	1818	32610	101	/wiki/Morovis,_Puerto_Rico	88.4	5.2	0.2	0.1	6.1	99.4	PNP
Naguabo	1821	26720	103	/wiki/Naguabo,_Puerto_Rico	71.1	15.9	0.4	0.2	12.4	99.2	PNP
Naranjito	1824	30402	105	/wiki/Naranjito,_Puerto_Rico	84.2	6	0.5	0.1	9.4	99.5	PNP
Orocovis	1772	23423	107	/wiki/Orocovis,_Puerto_Rico	86.7	6.2	0.4	0.1	6.6	99.6	PNP
Patillas	1811	19277	109	/wiki/Patillas,_Puerto_Rico	61.7	19.9	0.6	0.1	17.7	99.3	PPD
Peñuelas	1793	24282	111	/wiki/Pe%C3%B1uelas,_Puerto_Rico	81.8	9.2	0.4	0.2	8.4	99.4	PPD
Ponce	1692	166327	113	/wiki/Ponce,_Puerto_Rico	82	9	0.5	0.2	8.3	99.2	PNP
Quebradillas	1823	25919	115	/wiki/Quebradillas,_Puerto_Rico	89.2	3.7	0.1	0.1	6.9	99.3	PPD
Rincón	1771	15200	117	/wiki/Rinc%C3%B3n,_Puerto_Rico	85.7	5.3	0.5	0.2	8.2	96.4	PPD
Río Grande	1840	54304	119	/wiki/R%C3%ADo_Grande,_Puerto_Rico	61.9	24.6	0.7	0.2	12.6	99	PPD
Sabana Grande	1813	25265	121	/wiki/Sabana_Grande,_Puerto_Rico	85.3	5.5	0.4	0	8.8	99.5	PPD
Salinas	1851	31078	123	/wiki/Salinas,_Puerto_Rico	67.4	16.4	0.6	0.1	15.5	99.3	PPD
San Germán	1573	35527	125	/wiki/San_Germ%C3%A1n,_Puerto_Rico	83.4	5.6	0.4	0.1	10.5	99.2	PPD
San Juan	1509	395326	127	/wiki/San_Juan,_Puerto_Rico	68	18.6	0.8	0.4	12.2	98.2	PPD
San Lorenzo	1811	41058	129	/wiki/San_Lorenzo,_Puerto_Rico	76.1	9.9	0.8	0.1	13.2	99.5	PPD
San Sebastián	1752	42430	131	/wiki/San_Sebasti%C3%A1n,_Puerto_Rico	88.5	3	0.3	0.1	8.1	99.3	PNP
Santa Isabel	1842	23274	133	/wiki/Santa_Isabel,_Puerto_Rico	73	15.6	0.5	0.1	10.9	99.6	PNP
Toa Alta	1751	74066	135	/wiki/Toa_Alta,_Puerto_Rico	76.3	9.6	0.4	0.1	13.5	99.3	PPD
Toa Baja	1745	89609	137	/wiki/Toa_Baja,_Puerto_Rico	70.2	16.8	0.6	0.3	12.1	99	PNP
Trujillo Alto	1801	74842	139	/wiki/Trujillo_Alto,_Puerto_Rico	72.1	14.6	0.7	0.2	12.3	98.9	PPD
Utuado	1739	33149	141	/wiki/Utuado,_Puerto_Rico	92.7	2.7	0.2	0.1	4.3	99.4	PPD
Vega Alta	1775	39951	143	/wiki/Vega_Alta,_Puerto_Rico	71.2	14.9	0.7	0.2	13.1	98.7	PNP
Vega Baja	1776	59662	145	/wiki/Vega_Baja,_Puerto_Rico	77.3	11.5	0.5	0.1	10.6	99.3	PPD
Vieques	1852	9301	147	/wiki/Vieques,_Puerto_Rico	58.7	28.1	0.7	0.1	12.5	94.3	PPD
Villalba	1917	26073	149	/wiki/Villalba,_Puerto_Rico	82.1	8.5	0.2	0	9.1	99.7	PPD
Yabucoa	1793	37941	151	/wiki/Yabucoa,_Puerto_Rico	65.6	14.1	0.5	0.2	19.8	99.3	PPD
Yauco	1756	42043	153	/wiki/Yauco,_Puerto_Rico	83	5.9	0.3	0.1	9.6	99.5	PNP